gene name	UniProt ID	logFC	P.Value
FLRT2	O43155	0.172616093	6.91E-05
TYMP	P19971	0.269986841	6.92E-05
DKK3	Q9UBP4	-0.057039929	7.38E-05
ITGB5	P18084	0.165071268	7.66E-05
JAM2	P57087	0.117200354	7.85E-05
CD160	O95971	0.242891858	8.11E-05
DRAXIN	Q8NBI3	0.169414826	8.36E-05
CHRDL2	Q6WN34	0.151311862	8.80E-05
GRN	P28799	0.188655099	9.04E-05
CA4	P22748	0.204327674	9.05E-05
PRSS27	Q9BQR3	0.201428147	9.85E-05
LAMA4	Q16363	0.218643081	0.000104553
FCGR2A	P12318	0.290467772	0.00010897
UNC5C	O95185	0.169918445	0.000111787
FASLG	P48023	0.20104363	0.000112167
CD38	P28907	0.236451088	0.000116574
LGALS3	P17931	0.201372798	0.000129068
ANGPTL1	O95841	0.166226317	0.000129072
MDGA1	Q8NFP4	0.258838726	0.00013045
NID1	P14543	0.167241498	0.00013129
TGM2	P21980	0.302485261	0.000135301
RGMB	Q6NW40	0.134558878	0.000136202
IGFBP2	P18065	0.129757105	0.000144222
QPCT	Q16769	0.212736611	0.000148309
SCARF1	Q14162	0.234315128	0.000148492
CD244	Q9BZW8	0.172168141	0.000149932
ROR1	Q01973	0.201139745	0.000154693
FUT3	P21217	0.178978857	0.000177557
ITM2A	O43736	0.200569373	0.000179336
MDK	P21741	0.196091789	0.00018207
LTA	P01374	0.168510733	0.000199108
PRELP	P51888	0.108432026	0.0002052
CNTN4	Q8IWV2	0.241226663	0.000215907
TEK	Q02763	0.155849566	0.000220274
DLK1	P80370	0.19044288	0.000242119
FUCA1	P04066	0.24743239	0.000263617
CCL24	O00175	0.247476153	0.000283848
EDAR	Q9UNE0	0.102147492	0.000289274
ACP6	Q9NPH0	0.290144968	0.000315314
MARCO	Q9UEW3	0.148954979	0.000318906
PLXNB2	O15031	0.176328214	0.000337195
LY9	Q9HBG7	0.107404736	0.000344046
TIE1	P35590	0.133816742	0.000345537
CFC1	P0CG37	0.159403996	0.00037615
CLEC1B	Q9P126	0.226887169	0.000376704
DDR1	Q08345	0.109621231	0.000398081
ASAH2	Q9NR71	0.143870932	0.000442337
CLEC7A	Q9BXN2	0.297699437	0.000455914
C1QTNF1	Q9BXJ1	0.159923412	0.000471808
PI3	P19957	0.226327719	0.000476563
ANPEP	P15144	0.170112701	0.000490478
ANGPT2	O15123	0.182708572	0.000514751
CPE	P16870	0.058968334	0.000528068
CLEC11A	Q9Y240	0.220338664	0.000530595
LAIR2	Q6ISS4	0.483350768	0.00053569
EGFL7	Q9UHF1	0.170781632	0.000550969
OMD	Q99983	0.190037324	0.000557719
CPM	P14384	0.187898316	0.000563826
IL13RA1	P78552	0.081121859	0.000563971
CTSO	P43234	0.148724484	0.000604169
IL6R	P08887	0.190960223	0.000634903
TNFRSF21	O75509	0.050522541	0.000660718
FGF21	Q9NSA1	0.257665372	0.000663998
ST6GAL1	P15907	0.17542709	0.00067096
SLITRK2	Q9H156	0.24757094	0.000671799
AOC3	Q16853	0.134340474	0.000721272
PTN	P21246	-0.100443219	0.000728262
RARRES2	Q99969	0.109515878	0.000778734
IL18R1	Q13478	0.198964211	0.000799006
MESD	Q14696	0.16197224	0.00086142
