gene name	UniProt ID	logFC	P.Value
KLK6	Q92876	0.00326055	0.876258025
IGHG4	P01861	-0.012556886	0.879739024
NEO1	Q92859	-0.002798892	0.893237147
CADM4	Q8NFZ8	0.001959311	0.915370876
SEZ6L	Q9BYH1	-0.003009612	0.916500863
IGHA1	P01876	0.005390258	0.922648168
SIRPA	P78324	-0.002659159	0.930854231
SULF2	Q8IWU5	-0.003256795	0.932933429
NECTIN1	Q15223	0.002010156	0.938765401
GALNT2	Q10471	0.001335512	0.946818662
MFGE8	Q08431	-0.001543708	0.950831277
BCAN	Q96GW7	-0.001039009	0.964320355
FAT2	Q9NYQ8	2.93E-05	0.999231105
